epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,445.609,2.2676,1.7119,1.13584,0.60603,0.43461,0.47546,0.19975,2.10353,1.41608,1.12572,0.000666255,0.000666255,0.000666255
2,932.977,2.32081,1.70026,1.14442,0.63078,0.44896,0.49736,0.20229,2.11128,1.47593,1.1209,0.00131643,0.00131643,0.00131643
3,1347,2.28477,1.63637,1.13477,0.64836,0.48285,0.53459,0.22467,2.02438,1.32246,1.09763,0.0019501,0.0019501,0.0019501
4,2025.6,2.22632,1.57543,1.1121,0.65085,0.46479,0.52374,0.2291,1.98527,1.3138,1.0833,0.00192575,0.00192575,0.00192575
5,2440.23,2.19352,1.52741,1.09971,0.66582,0.51557,0.56629,0.24613,1.93539,1.26196,1.06223,0.001901,0.001901,0.001901
6,2998.59,2.14229,1.45909,1.09171,0.67794,0.53978,0.59628,0.26181,1.93252,1.20253,1.06208,0.00187625,0.00187625,0.00187625
7,3411.81,2.1251,1.42305,1.08228,0.69397,0.52499,0.59327,0.26183,1.90048,1.19292,1.05136,0.0018515,0.0018515,0.0018515
8,3986.99,2.101,1.38179,1.07366,0.70303,0.56858,0.62097,0.27896,1.8908,1.16341,1.05699,0.00182675,0.00182675,0.00182675
9,4400.89,2.10659,1.3839,1.07341,0.71352,0.55574,0.62415,0.2798,1.85046,1.13779,1.04158,0.001802,0.001802,0.001802
10,4815.2,2.06672,1.34382,1.05696,0.70003,0.58129,0.63895,0.28573,1.85507,1.12703,1.03628,0.00177725,0.00177725,0.00177725
11,5228.76,2.05241,1.31935,1.06012,0.73296,0.57374,0.64357,0.29748,1.82437,1.09451,1.03335,0.0017525,0.0017525,0.0017525
12,5641.61,2.04857,1.31023,1.05917,0.72862,0.58501,0.64941,0.29621,1.82256,1.09157,1.03161,0.00172775,0.00172775,0.00172775
13,6055.26,2.02792,1.28949,1.05155,0.73558,0.59604,0.65951,0.30628,1.81801,1.08197,1.02746,0.001703,0.001703,0.001703
14,6641.82,2.02209,1.27895,1.04429,0.74474,0.59714,0.66838,0.3074,1.81031,1.08295,1.02699,0.00167825,0.00167825,0.00167825
15,7055.35,2.02383,1.25883,1.04188,0.73359,0.59933,0.66252,0.30451,1.82573,1.06865,1.02967,0.0016535,0.0016535,0.0016535
16,8367.5,2.0045,1.24646,1.04292,0.73035,0.60785,0.66768,0.30852,1.79768,1.05123,1.0276,0.00162875,0.00162875,0.00162875
17,8781.13,1.99288,1.24038,1.04156,0.73642,0.60355,0.67766,0.31519,1.78455,1.05088,1.01867,0.001604,0.001604,0.001604
18,9195.38,1.98123,1.2168,1.03261,0.7466,0.61357,0.68292,0.31903,1.76752,1.03617,1.01542,0.00157925,0.00157925,0.00157925
19,9608.71,1.96616,1.19665,1.02618,0.74191,0.61329,0.67844,0.31417,1.78366,1.03695,1.01754,0.0015545,0.0015545,0.0015545
20,10022.6,1.96205,1.19717,1.02542,0.75057,0.61873,0.68759,0.32401,1.76217,1.02545,1.01109,0.00152975,0.00152975,0.00152975
21,11136,1.94881,1.18644,1.0207,0.7398,0.62782,0.68861,0.32413,1.75693,1.02495,1.01001,0.001505,0.001505,0.001505
22,11550.8,1.95984,1.19494,1.02184,0.74973,0.61934,0.68946,0.32369,1.75451,1.00673,1.01026,0.00148025,0.00148025,0.00148025
